epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,973.113,1.09668,0.63484,0.94145,0.85172,0.86771,0.91105,0.59932,1.17526,0.64767,0.96031,0.000742625,0.000742625,0.000742625
43,996.318,1.10077,0.63641,0.9427,0.85263,0.86319,0.90895,0.60793,1.16574,0.6492,0.95345,0.00073025,0.00073025,0.00073025
44,1018.36,1.08955,0.63533,0.94133,0.84372,0.87575,0.91158,0.6037,1.1859,0.65227,0.96068,0.000717875,0.000717875,0.000717875
45,1040.95,1.08592,0.62737,0.93784,0.85768,0.86858,0.916,0.59776,1.18344,0.65519,0.9601,0.0007055,0.0007055,0.0007055
46,1064.16,1.08484,0.62749,0.93738,0.85155,0.86454,0.90992,0.5996,1.17107,0.66016,0.96109,0.000693125,0.000693125,0.000693125
47,1087.33,1.08486,0.62101,0.93734,0.83589,0.87941,0.91062,0.59735,1.18022,0.65603,0.96228,0.00068075,0.00068075,0.00068075
48,1110.37,1.09036,0.62327,0.93982,0.86049,0.86942,0.91214,0.60503,1.1812,0.64256,0.96776,0.000668375,0.000668375,0.000668375
49,1132.72,1.08726,0.61993,0.9392,0.834,0.84839,0.90146,0.59577,1.1715,0.66813,0.96092,0.000656,0.000656,0.000656
50,1155.63,1.07708,0.61338,0.93878,0.8547,0.84868,0.90845,0.59834,1.17805,0.66524,0.96109,0.000643625,0.000643625,0.000643625
51,1179.15,1.07642,0.61713,0.93666,0.84792,0.87846,0.91621,0.6065,1.17511,0.63276,0.95834,0.00063125,0.00063125,0.00063125
52,1202.18,1.07364,0.61462,0.93809,0.8678,0.85568,0.9061,0.59931,1.1777,0.64461,0.9564,0.000618875,0.000618875,0.000618875
53,1223.71,1.07164,0.60931,0.93513,0.83327,0.87401,0.90736,0.60627,1.17528,0.64982,0.96069,0.0006065,0.0006065,0.0006065
54,1246.92,1.06892,0.61445,0.9313,0.85144,0.84291,0.90886,0.60303,1.16969,0.65614,0.96246,0.000594125,0.000594125,0.000594125
55,1270.17,1.06146,0.6007,0.9333,0.87278,0.84404,0.9053,0.60566,1.17684,0.64013,0.96113,0.00058175,0.00058175,0.00058175
56,1292.89,1.06525,0.60635,0.9306,0.83672,0.87814,0.90074,0.6035,1.17115,0.65029,0.96142,0.000569375,0.000569375,0.000569375
57,1314.77,1.06282,0.60081,0.93196,0.85104,0.84497,0.90382,0.59991,1.16911,0.65851,0.95572,0.000557,0.000557,0.000557
58,1337.74,1.0605,0.59825,0.92932,0.86259,0.87056,0.91695,0.6095,1.16582,0.63382,0.95368,0.000544625,0.000544625,0.000544625
59,1360.44,1.05048,0.59437,0.92573,0.85372,0.85005,0.90206,0.59749,1.17245,0.67678,0.95597,0.00053225,0.00053225,0.00053225
60,1383.9,1.04583,0.5846,0.92466,0.85081,0.87143,0.9145,0.61319,1.16964,0.64189,0.95467,0.000519875,0.000519875,0.000519875
61,1406.12,1.0528,0.59524,0.92703,0.86765,0.85818,0.91504,0.61109,1.17288,0.63601,0.95867,0.0005075,0.0005075,0.0005075
62,1428.96,1.04833,0.58607,0.92366,0.85241,0.87517,0.91505,0.60944,1.17426,0.62559,0.96001,0.000495125,0.000495125,0.000495125
63,1451.83,1.04162,0.57837,0.92541,0.83983,0.87276,0.9167,0.60646,1.18084,0.63957,0.96183,0.00048275,0.00048275,0.00048275
64,1474.77,1.03711,0.57816,0.92532,0.84903,0.86795,0.91473,0.60918,1.16832,0.63232,0.95763,0.000470375,0.000470375,0.000470375
65,1496.69,1.03086,0.57175,0.92164,0.85885,0.86437,0.90995,0.60684,1.16824,0.62788,0.95773,0.000458,0.000458,0.000458
66,1520.01,1.03027,0.57087,0.9225,0.87698,0.8631,0.91508,0.61482,1.16744,0.62516,0.96006,0.000445625,0.000445625,0.000445625
67,1543.45,1.04148,0.57475,0.92558,0.8518,0.88789,0.91568,0.6079,1.171,0.62242,0.95481,0.00043325,0.00043325,0.00043325
68,1566.34,1.02235,0.57182,0.9174,0.86055,0.86403,0.91447,0.60997,1.16453,0.62305,0.95438,0.000420875,0.000420875,0.000420875
69,1588.53,1.02361,0.56806,0.92093,0.86295,0.87337,0.91622,0.61069,1.17068,0.62692,0.95952,0.0004085,0.0004085,0.0004085
70,1611.23,1.02216,0.56497,0.9194,0.87177,0.86491,0.91159,0.61073,1.16321,0.63274,0.95714,0.000396125,0.000396125,0.000396125
71,1634.5,1.02245,0.56348,0.91866,0.87761,0.8573,0.91749,0.61388,1.15803,0.61954,0.95234,0.00038375,0.00038375,0.00038375
72,1657.87,1.01924,0.56059,0.91725,0.86695,0.87181,0.9193,0.6131,1.15955,0.62211,0.95631,0.000371375,0.000371375,0.000371375
73,1680.2,1.01377,0.55878,0.92131,0.86153,0.8839,0.91849,0.61279,1.15746,0.62265,0.95583,0.000359,0.000359,0.000359
74,1702.95,1.0095,0.55219,0.91336,0.85383,0.87229,0.91369,0.61158,1.16136,0.63006,0.95595,0.000346625,0.000346625,0.000346625
75,1725.82,1.00833,0.54924,0.91956,0.84331,0.88507,0.91656,0.61207,1.16527,0.63493,0.95814,0.00033425,0.00033425,0.00033425
